"Table 211.40. Average base salary for full-time public elementary and secondary school teachers with a master's degree as their highest degree, by years of teaching experience and state: Selected years, 
              1993-94 through 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Amounts in current dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,"1993-94, total",,"1999-2000, total",,"2003-04, total",,2007-08,,,,,,,,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total,,Years of full- and part-time experience\1\,,,,,,Total,,Years of full- and part-time experience\1\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6 to 10 years,,11 to 20 years,,Over 20 years,,,,5 or fewer years,,6 to 10 years,,11 to 20 years,,Over 20 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   United States .........................................,"$38,480",(154),"$44,700",(174),"$49,440",(202),"$54,810",(281),"$50,090",(394),"$56,270",(507),"$62,990",(554),"$57,830",(352),"$45,330",(698),"$51,780",(458),"$60,560",(506),"$67,010",(579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama .......................,"28,920",(156),"36,930",(145),"39,730",(383),"46,980",(436),"45,210",(769),"48,070",(495),"50,960","(1,098)","48,410",(367),"44,440",(753),"45,980",(759),"49,430",(477),"51,970",(543),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska .........................,"50,900",(373),"51,170",(662),"53,720","(1,005)","58,640",(800),"53,930","(1,059)","60,660","(1,044)","65,300","(1,265)","64,240","(2,039)","52,440","(1,374)",‡,(†),"67,900","(3,388)",‡,(†),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona ......................,"35,280",(302),"38,150",(465),"41,310",(531),"43,910",(701),"39,480",(920),"44,740",(824),"52,280","(1,355)","42,560",(660),"36,160",(608),"39,540",(945),"45,140","(1,048)","48,340","(1,150)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas ........................,"29,070",(322),"34,830",(483),"39,480",(639),"45,460",(678),"43,110","(1,399)","44,220","(1,073)","50,440",(983),"47,100",(921),"41,060",(937),"42,230","(1,199)","49,330","(1,587)","53,840","(1,848)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California ......................,"43,420",(636),"50,800",(537),"59,160",(761),"65,040",(982),"59,450","(1,065)","67,460","(1,568)","78,210","(1,147)","67,830",(981),"49,470","(1,458)","60,820","(1,112)","69,220","(1,747)","81,320","(1,047)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado .......................,"36,580",(364),"41,200",(445),"47,960",(641),"50,140","(1,069)","45,400","(1,721)","54,190","(1,624)","60,750","(1,751)","52,760","(1,280)","42,050","(2,312)","46,110","(1,581)","54,850","(1,521)","67,240","(3,758)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut .....................,"49,310",(416),"50,620",(590),"57,340",(934),"62,480",(762),"56,960","(1,026)","67,970","(1,358)","72,250",(825),"67,040",(996),"51,450","(1,574)","58,330","(1,442)","72,750","(1,136)","77,490","(1,240)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware .......................,"42,350",(535),"48,120",(910),"54,670",(913),"56,930","(1,117)","52,160","(1,714)","61,890","(2,167)","69,340","(1,947)","57,730","(1,420)","45,040","(1,198)","52,090","(1,343)","63,850","(1,591)","71,640","(1,769)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia ...........,"45,360",(828),"51,040",(472),"55,450","(1,568)","66,250","(1,933)",‡,(†),"70,100","(2,147)","81,470","(1,579)",‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida ........................,"33,150",(487),"39,330",(476),"42,120",(784),"48,680",(985),"41,620",(962),"45,330",(906),"61,700","(1,316)",‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia ........................,"31,890",(227),"41,950",(524),"47,540",(752),"51,600",(799),"47,830","(1,194)","53,080",(867),"58,090","(1,233)","50,700","(1,002)","43,240","(1,809)","46,530",(948),"52,840","(1,161)","60,350","(2,023)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii ...........................,"36,430",(731),"39,280",(524),"42,910",(967),"49,380","(1,513)",‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),‡,(†),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho ........................,"31,590",(440),"42,380",(772),"44,140",(857),"47,020",(981),"41,040","(1,725)","50,950","(1,201)","53,020","(1,854)","45,920","(1,724)",‡,(†),"36,310","(1,451)","48,810","(1,989)","54,220","(2,242)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
