States,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16
Alabama,7.941101785410987,15.603087589189792,14.353833917854503,15.822222109136279,17.41272566329853,18.24522852498956,17.514186060454307
Alaska,7.297716839482712,16.217743361354717,17.116105063927165,16.57884141570422,16.90612804610856,16.91451261786355,16.963389994261917
Arizona,11.092164494032694,21.266059253762045,22.293100251665663,22.797228132335153,23.100405448536794,23.13219961137638,23.291894165252316
Arkansas,6.678885305493677,14.216360199346967,14.243679284366133,14.02623418975274,13.855953874170055,13.745218044864984,13.810323450964587
California,11.859585158194665,23.40190941249422,23.65947887897629,24.325557437466042,23.580552860950046,23.93148752331009,23.256315781791002
Colorado,8.314571757395791,17.768402687646013,17.651868421004217,17.48495136107642,17.29985862471917,17.35800114791789,17.399483563408634
Connecticut,6.02168164622811,12.656989038418383,12.541254726410513,12.572770491233472,12.901877564372924,12.289344565091492,12.637637212114342
Delaware,7.8530911271230615,15.016052943854874,13.938208922977207,14.027072685943635,13.8921621971758,15.047016696590273,14.798114723833104
District of Columbia,6.2633554518360235,11.772904368546971,12.850416026733726,13.044131367636774,12.331195832635219,12.376327313380733,12.762022836365148
Florida,7.933615490459226,15.246056856238889,15.249827500955746,15.297694952916228,15.278814659115072,15.29268328883656,15.11647850612137
Georgia,7.3818629986244835,15.162116125409753,15.574759360635817,15.751948538481921,15.649413563135486,15.546504941122347,15.37388955451476
Hawaii,8.275178565010934,15.94519988445128,15.916335004565736,15.858632588184863,15.638217875605239,15.493023823247187,15.409543307140078
Idaho,9.928903666681903,17.502520255852872,19.558489589162814,19.762800532205638,18.63557971237328,18.66818851308281,18.341263522979038
Illinois,9.694155797598334,15.807706197675458,15.275381777691639,15.15886671852144,15.478648975651828,15.712249408860744,15.723982207626873
Indiana,7.544790420887307,16.695359438729596,17.395789205001797,17.508024486845727,18.502516208086703,18.149279972119565,17.44545485220397
Iowa,7.121676341554893,14.307457264741481,14.248049614255775,14.209367270631542,14.160680572210191,14.235072290037767,14.237891825411277
Kansas,7.139413851939755,12.99500364902038,11.857542576715678,13.011854931079943,13.204650777448625,12.386159924246908,13.658541302590953
Kentucky,6.783838466906202,16.292217236252164,16.020005863997348,16.197647022815048,16.559570351482076,16.38576195804937,16.274982309724248
Louisiana,6.904782697867011,14.456084651300058,15.290403521703396,15.321669766571464,15.468431495004051,12.292119361886805,14.796959683623328
Maine,5.809031362139311,12.692671432908563,12.201946120372511,11.907774370019553,12.216194575385643,12.224069462206367,12.238018725296776
Maryland,7.386932717630642,14.83070132256045,14.893632872239035,14.778261835402283,14.77362589318189,14.804568473239375,14.843762300417094
Massachusetts,7.828821386585799,13.748720479452825,13.516754709266882,13.558589385435234,13.301656493506314,13.394983797230983,13.319617571641794
